State,Total_Households,Avg_Poverty_Score,High_Poverty_Count,Medium_Poverty_Count,Low_Poverty_Count,High_Poverty_%,Medium_Poverty_%,Low_Poverty_%
Kogi,96,1.0208333333333333,36,26,34,37.5,27.083333333333332,35.41666666666667
Cross River,99,1.0606060606060606,34,37,28,34.34343434343434,37.37373737373738,28.28282828282828
Nasarawa,24,1.1666666666666667,8,12,4,33.33333333333333,50.0,16.666666666666664
Osun,76,0.9605263157894737,24,25,27,31.57894736842105,32.89473684210527,35.526315789473685
Anambra,117,0.9316239316239316,36,37,44,30.76923076923077,31.62393162393162,37.60683760683761
Bauchi,225,0.8888888888888888,69,62,94,30.666666666666664,27.555555555555557,41.77777777777778
FCT,121,0.8925619834710744,37,34,50,30.57851239669421,28.09917355371901,41.32231404958678
Lagos,210,0.9476190476190476,63,73,74,30.0,34.76190476190476,35.23809523809524
Enugu,165,0.9151515151515152,49,53,63,29.6969696969697,32.121212121212125,38.18181818181819
Edo,155,0.9483870967741935,46,55,54,29.677419354838708,35.483870967741936,34.83870967741935
Abia,246,0.9552845528455285,71,93,82,28.86178861788618,37.80487804878049,33.33333333333333
Akwa Ibom,202,0.9158415841584159,55,75,72,27.22772277227723,37.12871287128713,35.64356435643564
Ondo,81,0.8888888888888888,22,28,31,27.160493827160494,34.5679012345679,38.2716049382716
Kano,149,0.8590604026845637,40,48,61,26.845637583892618,32.21476510067114,40.939597315436245
Gombe,133,0.8721804511278195,35,46,52,26.31578947368421,34.58646616541353,39.097744360902254
Delta,149,0.8590604026845637,39,50,60,26.174496644295303,33.557046979865774,40.26845637583892
Kaduna,216,0.875,56,77,83,25.925925925925924,35.648148148148145,38.425925925925924
Benue,169,0.8461538461538461,43,57,69,25.443786982248522,33.72781065088758,40.828402366863905
Taraba,107,0.8317757009345794,27,35,45,25.233644859813083,32.71028037383177,42.05607476635514
Kebbi,64,0.859375,16,23,25,25.0,35.9375,39.0625
Ebonyi,109,0.8623853211009175,27,40,42,24.770642201834864,36.69724770642202,38.53211009174312
Ogun,135,0.8740740740740741,33,52,50,24.444444444444443,38.51851851851852,37.03703703703704
Borno,45,0.8888888888888888,11,18,16,24.444444444444443,40.0,35.55555555555556
Yobe,70,0.8714285714285714,17,27,26,24.285714285714285,38.57142857142858,37.142857142857146
Kwara,186,0.8279569892473119,45,64,77,24.193548387096776,34.40860215053764,41.39784946236559
Jigawa,109,0.8256880733944955,26,38,45,23.853211009174313,34.862385321100916,41.284403669724774
Plateau,84,0.8452380952380952,20,31,33,23.809523809523807,36.904761904761905,39.285714285714285
Sokoto,59,0.8813559322033898,14,24,21,23.728813559322035,40.67796610169492,35.59322033898305
Bayelsa,76,0.8157894736842105,18,26,32,23.684210526315788,34.21052631578947,42.10526315789473
Oyo,140,0.8928571428571429,33,59,48,23.57142857142857,42.142857142857146,34.285714285714285
Ekiti,132,0.7651515151515151,31,39,62,23.484848484848484,29.545454545454547,46.96969696969697
Imo,160,0.8375,37,60,63,23.125,37.5,39.375
Niger,143,0.8041958041958042,33,49,61,23.076923076923077,34.26573426573427,42.65734265734265
Katsina,124,0.7903225806451613,28,42,54,22.58064516129032,33.87096774193548,43.54838709677419
Zamfara,54,0.9074074074074074,12,25,17,22.22222222222222,46.2962962962963,31.48148148148148
Adamawa,236,0.8305084745762712,48,100,88,20.33898305084746,42.3728813559322,37.28813559322034
Rivers,105,0.7047619047619048,18,38,49,17.142857142857142,36.19047619047619,46.666666666666664
